                      List of relations
 Schema |             Name              |   Type   |  Owner  
--------+-------------------------------+----------+---------
 public | announcements                 | table    | caoyang
 public | announcements_id_seq          | sequence | caoyang
 public | answer_votes                  | table    | caoyang
 public | answer_votes_id_seq           | sequence | caoyang
 public | board_bans                    | table    | caoyang
 public | board_bans_id_seq             | sequence | caoyang
 public | boards                        | table    | caoyang
 public | boards_id_seq                 | sequence | caoyang
 public | comments                      | table    | caoyang
 public | comments_id_seq               | sequence | caoyang
 public | follows                       | table    | caoyang
 public | follows_id_seq                | sequence | caoyang
 public | likes                         | table    | caoyang
 public | likes_id_seq                  | sequence | caoyang
 public | moderator_applications        | table    | caoyang
 public | moderator_applications_id_seq | sequence | caoyang
 public | moderator_logs                | table    | caoyang
 public | moderator_logs_id_seq         | sequence | caoyang
 public | moderators                    | table    | caoyang
 public | moderators_id_seq             | sequence | caoyang
 public | notifications                 | table    | caoyang
 public | notifications_id_seq          | sequence | caoyang
 public | post_tags                     | table    | caoyang
 public | posts                         | table    | caoyang
 public | posts_id_seq                  | sequence | caoyang
 public | questions                     | table    | caoyang
 public | questions_id_seq              | sequence | caoyang
 public | reports                       | table    | caoyang
 public | reports_id_seq                | sequence | caoyang
 public | sign_ins                      | table    | caoyang
 public | sign_ins_id_seq               | sequence | caoyang
 public | tags                          | table    | caoyang
 public | tags_id_seq                   | sequence | caoyang
 public | timeline_events               | table    | caoyang
 public | timeline_events_id_seq        | sequence | caoyang
 public | timeline_subscriptions        | table    | caoyang
 public | timeline_subscriptions_id_seq | sequence | caoyang
 public | topic_follows                 | table    | caoyang
 public | topic_follows_id_seq          | sequence | caoyang
 public | topic_posts                   | table    | caoyang
 public | topic_posts_id_seq            | sequence | caoyang
 public | topics                        | table    | caoyang
 public | topics_id_seq                 | sequence | caoyang
 public | user_timelines                | table    | caoyang
 public | user_timelines_id_seq         | sequence | caoyang
 public | users                         | table    | caoyang
 public | users_id_seq                  | sequence | caoyang
 public | votes                         | table    | caoyang
 public | votes_id_seq                  | sequence | caoyang
(49 rows)

